id,review_id,content,rating,date,user_name,thumbs_up,reply_content,source,app_version,bank_id,sentiment,cleaned_text,id_bank,name,code,sentiment_score,theme_user_interface,theme_performance
401,7ef21cf6-d226-4370-ab96-01c909dbc58d,very good,5,2025-11-25 13:15:43,lij gech,0,,Google Play,25.09.03,2,positive,very good,2,Bank of Abyssinia,BOA,0.9099999999999999,False,False
402,896ee9aa-a483-4b1f-b73c-0a26c4b54790,most of the time is not working properly,1,2025-11-25 08:23:20,ashenafi endale,0,,Google Play,25.09.03,2,positive,most of the time is not working properly,2,Bank of Abyssinia,BOA,0.25,False,False
403,15c3586b-e672-48db-b3c0-09508375763f,good service,5,2025-11-25 02:10:24,Muluberhan Berhane,0,,Google Play,,2,positive,good service,2,Bank of Abyssinia,BOA,0.7,False,False
404,6f7113d8-180e-4f3d-83d9-fbe55f9edd69,not use for me,3,2025-11-23 18:23:59,Kemal Mahmud,0,,Google Play,,2,neutral,not use for me,2,Bank of Abyssinia,BOA,0.0,False,False
405,d36fbdcb-b57e-4384-8e5b-ae549e25b33e,It keeps notifying me to disable developer options and quiet while I'm not enabled. always bring another type of problem with new updates.,1,2025-11-22 14:21:32,Eyosias Adane,0,,Google Play,25.09.03,2,neutral,it keeps notifying me to disable developer options and quiet while im not enabled always bring another type of problem with new updates,2,Bank of Abyssinia,BOA,0.06818181818181818,False,False
406,2d630116-152e-4dbb-bb7a-d7f93bbafbc5,waw,5,2025-11-21 06:49:18,emishaw teferu,0,,Google Play,25.09.03,2,neutral,waw,2,Bank of Abyssinia,BOA,0.0,False,False
407,b9fa948b-07bc-41f5-9e49-5e612b9a9db6,the lag is unbelievable when you need it the most this suks,1,2025-11-19 13:04:40,dani boy,0,,Google Play,25.09.03,2,positive,the lag is unbelievable when you need it the most this suks,2,Bank of Abyssinia,BOA,0.125,False,False
408,c198f602-e9fb-4b61-ad3a-8efe42269b8d,I cant belive I could find the worst bank app ever .yet very simple to fix the problem and the company just ignored it. no body can do business with this kind of app.,1,2025-11-18 20:28:03,yoseef abdulhamid,0,,Google Play,25.09.03,2,negative,i cant belive i could find the worst bank app ever yet very simple to fix the problem and the company just ignored it no body can do business with this kind of app,2,Bank of Abyssinia,BOA,-0.13333333333333333,True,False
409,afad642f-39c4-4db0-adbf-5fbe7143f960,it is a good app,5,2025-11-18 09:47:47,Ashenafi Biftu,0,,Google Play,25.09.03,2,positive,it is a good app,2,Bank of Abyssinia,BOA,0.7,True,False
410,9fb5fdaa-6172-43c1-ba46-2fcdfcd84c13,it is not working at all,1,2025-11-15 20:42:13,???? ??? Agafari media,0,,Google Play,25.09.03,2,neutral,it is not working at all,2,Bank of Abyssinia,BOA,0.0,False,False
411,58ccb5e9-0cf7-413c-8bb4-6515d4863bc1,?????????? app is good but i was live in abroad and when i enter my otp code it didnt make me to write my code it the app want it self write thats not fair so please other wise i like it why,5,2025-11-15 19:29:15,Amenti Tesgera,27,,Google Play,25.09.03,2,positive,app is good but i was live in abroad and when i enter my otp code it didnt make me to write my code it the app want it self write thats not fair so please other wise i like it why,2,Bank of Abyssinia,BOA,0.21227272727272725,True,False
412,0ed79d57-a54c-4541-9df0-67e1e8c72be3,when trying to activate the app it keeps on loading on the security questions page. It has been two days,1,2025-11-13 09:57:58,Barecha Ashenafi,0,,Google Play,25.09.03,2,neutral,when trying to activate the app it keeps on loading on the security questions page it has been two days,2,Bank of Abyssinia,BOA,0.0,True,False
413,f38caf5b-4580-4a9f-819f-f4cd3d789176,fast and simple,5,2025-11-11 03:23:24,Mebrate Teklay Negesse,0,,Google Play,25.09.03,2,neutral,fast and simple,2,Bank of Abyssinia,BOA,0.1,False,True
414,6a7a5c64-4056-404d-b37e-60bf1d6ee90a,best of best,5,2025-11-10 19:25:19,Hailay G Hailu,0,,Google Play,25.09.03,2,positive,best of best,2,Bank of Abyssinia,BOA,1.0,False,False
415,9f9ace0f-c63b-4482-a159-12c2bcd357ae,Worest Banking App Ever I seen. Fake App Bad Better to Leave,1,2025-11-10 19:03:40,Shadow Protocol (shadow),0,,Google Play,25.09.03,2,negative,worest banking app ever i seen fake app bad better to leave,2,Bank of Abyssinia,BOA,-0.23333333333333325,True,False
416,52b82149-19da-40cd-b8ce-a86e0b2c789c,good,4,2025-11-10 14:46:34,mohammed juhar,0,,Google Play,25.09.03,2,positive,good,2,Bank of Abyssinia,BOA,0.7,False,False
417,f28a3a3c-eb94-4aab-88d2-89bcecebcc7b,bad exprience...it is so crushed,1,2025-11-08 17:14:29,???? ???,0,,Google Play,,2,negative,bad exprienceit is so crushed,2,Bank of Abyssinia,BOA,-0.3999999999999999,False,False
418,c6661ae9-95ab-4a2d-be7b-ad93bb48f278,"I would like to share feedback regarding the application. It frequently experiences disruptions and does not function properly, often freezing or failing to load. This issue is affecting workflow and efficiency. Kindly review and address this problem to ensure smoother performance.",1,2025-11-08 13:11:33,Melesse Ayehu,54,,Google Play,25.09.03,2,positive,i would like to share feedback regarding the application it frequently experiences disruptions and does not function properly often freezing or failing to load this issue is affecting workflow and efficiency kindly review and address this problem to ensure smoother performance,2,Bank of Abyssinia,BOA,0.2333333333333333,True,False
419,493dc1a0-1d88-4d43-93ab-9b3c9d7426d9,Meet you genuine.App I tried is not functional.Helping.welldoingwith BOA Ethiopia .fastandrelevant.morconnecting Digitalyworld.Digitalyworld. thanks.,5,2025-11-08 12:18:43,Yeshambel kebede Melese,0,,Google Play,,2,positive,meet you genuineapp i tried is not functionalhelpingwelldoingwith boa ethiopia fastandrelevantmorconnecting digitalyworlddigitalyworld thanks,2,Bank of Abyssinia,BOA,0.2,True,True
420,61a85d6e-8111-4add-9c9a-ebf8a25b2bca,best app,5,2025-11-08 11:40:22,wassie gedif,0,,Google Play,25.09.03,2,positive,best app,2,Bank of Abyssinia,BOA,1.0,True,False
421,33b76ccc-05cf-445d-84a6-a5e516bac406,Best app,5,2025-11-07 21:15:06,Duma Can,0,,Google Play,,2,positive,best app,2,Bank of Abyssinia,BOA,1.0,True,False
422,aa74e8f9-67d1-486a-a601-761ce0c79a4e,"Barely works, it always fails to connect",1,2025-11-07 16:33:56,Navicii Entertainment,0,,Google Play,25.09.03,2,negative,barely works it always fails to connect,2,Bank of Abyssinia,BOA,-0.225,False,False
423,6308cb59-e418-4559-80e1-b53d44ce7c9a,my fav app,5,2025-11-07 08:04:39,abi Man,0,,Google Play,25.09.03,2,neutral,my fav app,2,Bank of Abyssinia,BOA,0.0,True,False
424,8fa4d905-fcd5-4124-8745-0014e9e746cf,this app launch time is so long also has dozen bugs in addition it's has been long time get update,1,2025-11-05 12:22:49,VORTEX,2,,Google Play,25.09.03,2,neutral,this app launch time is so long also has dozen bugs in addition its has been long time get update,2,Bank of Abyssinia,BOA,-0.05,True,False
425,6b603751-56ea-4108-95f6-a26ee49a7bdf,very nice,5,2025-11-04 17:21:49,Falmata Ali,0,,Google Play,25.09.03,2,positive,very nice,2,Bank of Abyssinia,BOA,0.78,False,False
